date,price
2023-01-01,100.00
2023-01-02,101.23
2023-01-03,100.98
2023-01-04,102.45
2023-01-05,103.67
2023-01-06,102.34
2023-01-07,101.76
2023-01-08,103.45
2023-01-09,104.21
2023-01-10,105.87
2023-01-11,106.34
2023-01-12,107.65
2023-01-13,108.76
2023-01-14,107.12
2023-01-15,108.54
2023-01-16,109.34
2023-01-17,110.12
2023-01-18,109.78
2023-01-19,110.45
2023-01-20,111.23
2023-01-21,112.34
2023-01-22,113.21
2023-01-23,112.89
2023-01-24,114.12
2023-01-25,115.34
2023-01-26,114.78
2023-01-27,115.89
2023-01-28,116.34
2023-01-29,117.45
2023-01-30,118.34
2023-01-31,117.89
2023-02-01,119.12
2023-02-02,120.23
2023-02-03,121.34
2023-02-04,120.89
2023-02-05,122.12
2023-02-06,123.34
2023-02-07,124.23
2023-02-08,125.45
2023-02-09,126.34
2023-02-10,125.89
2023-02-11,127.12
2023-02-12,128.34
2023-02-13,129.12
2023-02-14,130.34
2023-02-15,131.45
2023-02-16,132.34
2023-02-17,131.89
2023-02-18,133.12
2023-02-19,134.34
2023-02-20,133.89
2023-02-21,135.12
2023-02-22,136.34
2023-02-23,137.45
2023-02-24,138.34
2023-02-25,137.89
2023-02-26,139.12
2023-02-27,140.34
2023-02-28,141.45
2023-03-01,140.89
2023-03-02,142.12
2023-03-03,143.34
2023-03-04,144.23
2023-03-05,145.45
2023-03-06,146.34
2023-03-07,145.89
2023-03-08,147.12
2023-03-09,148.34
2023-03-10,149.12
2023-03-11,150.34
2023-03-12,151.45
2023-03-13,152.34
2023-03-14,151.89
2023-03-15,153.12
2023-03-16,154.34
2023-03-17,155.23
2023-03-18,156.45
2023-03-19,157.34
2023-03-20,156.89
2023-03-21,158.12
2023-03-22,159.34
2023-03-23,160.45
2023-03-24,159.89
2023-03-25,161.12
2023-03-26,162.34
2023-03-27,163.23
2023-03-28,164.45
2023-03-29,165.34
2023-03-30,164.89
2023-03-31,166.12
2023-04-01,167.34
2023-04-02,168.45
2023-04-03,169.34
2023-04-04,168.89
2023-04-05,170.12
2023-04-06,171.34
2023-04-07,172.23
2023-04-08,173.45
2023-04-09,174.34
